rank,code,name,market,mktcap,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,foreign_consec_buy,foreign_net_5d,inst_net_5d,keywords,news_count,scan_date,chunk
38,103590,일진전기,KOSPI,2975568336000,62400.0,24.0,5.0,0.0,0.0,9.0,38.0,57800.0,7.371794871794872,25.210084033613445,36.72865771516566,-,58490.0,57468.0,2,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
39,204320,HL만도,KOSPI,3014647104000,64200.0,25.0,0.0,8.0,0.0,5.0,38.0,55200.0,14.018691588785046,94.11764705882354,50.111256398793174,-,57565.0,49981.0,0,False,0.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
40,014680,한솔케미칼,KOSPI,2794125567500,246500.0,25.0,5.0,0.0,0.0,7.0,37.0,225000.0,8.72210953346856,15.126050420168067,41.67242879532809,-,232925.0,230340.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
41,012510,더존비즈온,KOSPI,2792177849600,91900.0,22.0,5.0,0.0,0.0,10.0,37.0,89700.0,2.3939064200217626,19.327731092436974,41.40006693270933,-,88770.0,90530.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
42,389470,인벤티지랩,KOSDAQ,1006403920600,80600.0,15.0,0.0,12.0,0.0,9.0,36.0,75500.0,6.327543424317618,77.3109243697479,11.285447354469389,-,82430.0,75806.0,9,False,0.0,12.0,12.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
43,950160,코오롱티슈진,KOSDAQ,6216628495500,74700.0,24.0,0.0,5.0,0.0,7.0,36.0,67500.0,9.63855421686747,75.63025210084034,36.35171950870397,-,73620.0,69548.0,3,False,0.0,5.0,5.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
44,357780,솔브레인,KOSDAQ GLOBAL,2271341272000,292000.0,24.0,5.0,0.0,0.0,7.0,36.0,268500.0,8.047945205479452,5.882352941176471,36.85842471703915,-,272800.0,267120.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
45,090430,아모레퍼시픽,KOSPI,7101020942600,121400.0,7.0,10.0,8.0,0.0,10.0,35.0,116400.0,4.118616144975288,12.605042016806722,20.281428108156764,C,120880.0,123532.0,0,False,10.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
46,214150,클래시스,KOSDAQ GLOBAL,3910687842300,59700.0,20.0,0.0,8.0,0.0,7.0,35.0,54500.0,8.710217755443885,74.78991596638656,20.907527708268333,-,56760.0,55570.0,0,False,0.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
47,005290,동진쎄미켐,KOSDAQ,2061721209400,40100.0,25.0,0.0,0.0,0.0,10.0,35.0,39300.0,1.99501246882793,36.134453781512605,42.50216711768521,-,39037.5,37303.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
